category,question,question_image,question_hint,type,published,wrong_answer_text,right_answer_text,explanation,user_explanation,not_influence_to_score,weight,answers,options,question_title,tags,id
Test Category,&lt;p&gt;Match the country with its capital&lt;/p&gt;,,,matching,1,,,,off,off,1,Japan          ::0::0::::::A::2189::::{&quot;correct_match&quot;:&quot;Tokyo&quot;};;Canada       ::0::0::::::A::2190::::{&quot;correct_match&quot;:&quot;Ottawa&quot;};;Italy            ::0::0::::::A::2191::::{&quot;correct_match&quot;:&quot;Rome&quot;};;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=eyItMSI6IkluY29ycmVjdCBtYXRjaCAxIiwiLTIiOiJJbmNvcnJlY3QgbWF0Y2ggMiIsIi0zIjoiSW5jb3JyZWN0IG1hdGNoIDMifQ==,,,764
Test Category,"&lt;p&gt;The Pacific Ocean is the {blank_1} ocean in the world, and it is located to the {blank_2} of the United States.&lt;/p&gt;",,,fill_in_blank,1,,,,off,off,1,largest::1::1::::::A::2187::{blank_1}::[];;west::1::1::::::A::2188::{blank_2}::[];;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=2::answer_incorrect_matches=,,,763
Test Category,&lt;p&gt;Sydney is the capital of Australia&lt;/p&gt;,,,true_or_false,1,,,,off,off,1,True::0::0::::::A::2185::::[];;False::1::1::::::A::2186::::[];;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=,,,762
Test Category,&lt;p&gt;The next 10 questions will refer to the History Category.&lt;/p&gt;,,,custom,1,,,,off,off,1,,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=,,,761
Test Category,&lt;p&gt;When did World War II officially end?&lt;/p&gt;,,,date,1,,,,off,off,1,1945-09-02::1::1::::::A::2184::::[];;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=,,,760
Test Category,&lt;p&gt;How many continents are there in the world?&lt;/p&gt;,,,number,1,,,,off,off,1,7::1::1::::::A::2183::::[];;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=,,,759
Test Category,&lt;p&gt;What is the longest river in the world?&lt;/p&gt;,,,short_text,1,,,,off,off,1,Nile::1::3::::::A::2182::::[];;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=,,,758
Test Category,&lt;p&gt;What are the differences between weather and climate?&lt;/p&gt;,,,text,1,,,,off,off,1,"Weather: Refers to the short-term atmospheric conditions in a specific place at a specific time. It includes day-to-day variations in temperature, humidity, precipitation, wind, and visibility.Climate: Refers to the long-term average of weather patterns over an extended period, typically 30 years or more, for a specific region. It encompasses the overall trends and variations in temperature, precipitation, and other atmospheric conditions.::1::2::::::A::2181::::[];;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=,,,757
Test Category,&lt;p&gt;Which actress is in the picture?&lt;/p&gt;,https://i.ibb.co/fMcpPrh/1191566979.webp,,select,1,,,,off,off,1,Julia Roberts::1::1::::::A::2178::::[];;Sandra Bullock::0::0::::::A::2179::::[];;Jennifer Aniston::0::0::::::A::2180::::[];;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=,,,756
Test Category,&lt;p&gt;Which 2 movies has Leonardo DiCaprio starred in?&lt;/p&gt;,,,checkbox,1,,,,off,off,1,Pulp Fiction::0::0::::::A::2175::::[];;Titanic::1::1::::::A::2176::::[];;The Wolf of Wall Street::1::1::::::A::2177::::[];;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=,,,755
Test Category,&lt;p&gt;Which ocean is on the west coast of the United States?&lt;/p&gt;,https://i.ibb.co/wpwnrxx/underwater-view.jpg,,radio,1,,,,off,off,1,Atlantic Ocean::0::0::https://i.ibb.co/VS5p7rb/atlantic-ocean-map-1.png::::A::2172::::[];;Indian Ocean::0::0::https://i.ibb.co/1q4XjCr/indian-ocean-map.png::::A::2173::::[];;Pacific Ocean::1::0::https://i.ibb.co/NSrFWfJ/Pacific-Ocean-Map.jpg::::A::2174::::[];;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=,,,754
